phenocode,name,category,num_cases,num_controls,path_bucket,path_https
F5_SLEEPWAKE,Disorder of the sleep-wake schedule,V Mental and behavioural disorders (F5_),368,337306,gs://finngen-public-data-r8/summary_stats/finngen_R8_F5_SLEEPWAKE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_F5_SLEEPWAKE.gz
F5_SOCPHOB,Social phobias,V Mental and behavioural disorders (F5_),2151,307558,gs://finngen-public-data-r8/summary_stats/finngen_R8_F5_SOCPHOB.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_F5_SOCPHOB.gz
F5_SOMATOFORM,Somatoform disorder,V Mental and behavioural disorders (F5_),4557,307558,gs://finngen-public-data-r8/summary_stats/finngen_R8_F5_SOMATOFORM.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_F5_SOMATOFORM.gz
F5_SPEECH,Specific development disorders of speech and language,V Mental and behavioural disorders (F5_),1449,339113,gs://finngen-public-data-r8/summary_stats/finngen_R8_F5_SPEECH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_F5_SPEECH.gz
F5_STIMUL,"Mental and behavioural disorders due to use of other stimulants, including caffeine",V Mental and behavioural disorders (F5_),791,336516,gs://finngen-public-data-r8/summary_stats/finngen_R8_F5_STIMUL.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_F5_STIMUL.gz
F5_STRESSOTH,"Other reaction to severe stress, and adjustment disorders",V Mental and behavioural disorders (F5_),12309,307558,gs://finngen-public-data-r8/summary_stats/finngen_R8_F5_STRESSOTH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_F5_STRESSOTH.gz
F5_SUBSNOALCO,"Substance use, excluding alcohol",V Mental and behavioural disorders (F5_),5983,320852,gs://finngen-public-data-r8/summary_stats/finngen_R8_F5_SUBSNOALCO.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_F5_SUBSNOALCO.gz
F5_UNSORG,Unspecified organic or symptomatic mental disorder,V Mental and behavioural disorders (F5_),83,325306,gs://finngen-public-data-r8/summary_stats/finngen_R8_F5_UNSORG.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_F5_UNSORG.gz
F5_VASCDEM,Vascular dementia,V Mental and behavioural disorders (F5_),2048,328982,gs://finngen-public-data-r8/summary_stats/finngen_R8_F5_VASCDEM.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_F5_VASCDEM.gz
FALLS,Falls/tendency to fall,,1978,340521,gs://finngen-public-data-r8/summary_stats/finngen_R8_FALLS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_FALLS.gz
FE,Focal epilepsy,VI Diseases of the nervous system (G6_),5922,332145,gs://finngen-public-data-r8/summary_stats/finngen_R8_FE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_FE.gz
FE_MODE,"Focal epilepsy, mode (most common among epilepsy diagnosis)",VI Diseases of the nervous system (G6_),1132,332145,gs://finngen-public-data-r8/summary_stats/finngen_R8_FE_MODE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_FE_MODE.gz
FE_STRICT,"Focal epilepsy, strict definition",VI Diseases of the nervous system (G6_),5363,332143,gs://finngen-public-data-r8/summary_stats/finngen_R8_FE_STRICT.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_FE_STRICT.gz
FELTY,Felty syndrome,,141,334220,gs://finngen-public-data-r8/summary_stats/finngen_R8_FELTY.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_FELTY.gz
FG_CARDMYO,Cardiomyopathy (excluding other),,3833,244220,gs://finngen-public-data-r8/summary_stats/finngen_R8_FG_CARDMYO.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_FG_CARDMYO.gz
FG_CEREBVASC,Cerebrovascular diseases (FINNGEN),IX Diseases of the circulatory system (I9_),25899,168000,gs://finngen-public-data-r8/summary_stats/finngen_R8_FG_CEREBVASC.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_FG_CEREBVASC.gz
FG_CVD,Cardiovascular diseases (excluding rheumatic etc),,174499,168000,gs://finngen-public-data-r8/summary_stats/finngen_R8_FG_CVD.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_FG_CVD.gz
FG_DOAAC,"Diseases of arteries, arterioles and capillaries (FINNGEN)",IX Diseases of the circulatory system (I9_),19769,168000,gs://finngen-public-data-r8/summary_stats/finngen_R8_FG_DOAAC.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_FG_DOAAC.gz
FG_OTHHEART,Other heart diseases,,98279,168000,gs://finngen-public-data-r8/summary_stats/finngen_R8_FG_OTHHEART.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_FG_OTHHEART.gz
FIBROLIV,Fibrosis of liver,,130,338951,gs://finngen-public-data-r8/summary_stats/finngen_R8_FIBROLIV.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_FIBROLIV.gz
FTD,Frontotemporal dementia,,99,328323,gs://finngen-public-data-r8/summary_stats/finngen_R8_FTD.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_FTD.gz
FTD_WIDE,"Frontotemporal dementia, wide, incl. Pick's disease",,118,328323,gs://finngen-public-data-r8/summary_stats/finngen_R8_FTD_WIDE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_FTD_WIDE.gz
G6_AD_WIDE,"Alzheimer’s disease, wide definition",VI Diseases of the nervous system (G6_),10839,331660,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_AD_WIDE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_AD_WIDE.gz
G6_ALCODEGEN,Degeneration of the brain due to alcohol,VI Diseases of the nervous system (G6_),533,333555,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_ALCODEGEN.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_ALCODEGEN.gz
G6_ALCOPOLY,Alcohol induced polyneuropathy,VI Diseases of the nervous system (G6_),224,336784,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_ALCOPOLY.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_ALCOPOLY.gz
G6_ALS,Motor neuron disease,VI Diseases of the nervous system (G6_),431,159840,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_ALS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_ALS.gz
G6_ALZHEIMER,Alzheimer disease,VI Diseases of the nervous system (G6_),7759,334740,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_ALZHEIMER.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_ALZHEIMER.gz
G6_ANOXBRAINDAM,Anoxic brain damage,VI Diseases of the nervous system (G6_),335,318912,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_ANOXBRAINDAM.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_ANOXBRAINDAM.gz
G6_ATROPHCIRCUM,Circumscribed brain atrophy,VI Diseases of the nervous system (G6_),412,333555,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_ATROPHCIRCUM.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_ATROPHCIRCUM.gz
G6_ATYFAC,Atypical facial pain,VI Diseases of the nervous system (G6_),1212,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_ATYFAC.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_ATYFAC.gz
G6_AUTONOM,Autonomic disorders,VI Diseases of the nervous system (G6_),486,318912,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_AUTONOM.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_AUTONOM.gz
G6_BASDEGENOTH,Other degenerative diseases of the basal ganglia,VI Diseases of the nervous system (G6_),246,333858,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_BASDEGENOTH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_BASDEGENOTH.gz
G6_BELLPA,Bell's palsy,VI Diseases of the nervous system (G6_),2991,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_BELLPA.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_BELLPA.gz
G6_BENINTRAHYP,Benign intracranial hypertension,VI Diseases of the nervous system (G6_),197,318912,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_BENINTRAHYP.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_BENINTRAHYP.gz
G6_BRACHPLE,Brachial plexus disorders,VI Diseases of the nervous system (G6_),2402,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_BRACHPLE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_BRACHPLE.gz
G6_CARPTU,Carpal tunnel syndrome,VI Diseases of the nervous system (G6_),19712,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_CARPTU.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_CARPTU.gz
G6_CAUDA,Cauda equina syndrome,VI Diseases of the nervous system (G6_),267,339360,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_CAUDA.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_CAUDA.gz
G6_CAUSALGIA,Causalgia,VI Diseases of the nervous system (G6_),382,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_CAUSALGIA.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_CAUSALGIA.gz
G6_CERCYST,Cerebral cysts,VI Diseases of the nervous system (G6_),1374,318912,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_CERCYST.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_CERCYST.gz
G6_CERVROOT,Cervical root disorders,VI Diseases of the nervous system (G6_),177,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_CERVROOT.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_CERVROOT.gz
G6_CLUSTHEADACHE_STRICT_INCLAVO,"Cluster headache, strict, including avohilmo",VI Diseases of the nervous system (G6_),1120,341379,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_CLUSTHEADACHE_STRICT_INCLAVO.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_CLUSTHEADACHE_STRICT_INCLAVO.gz
G6_CLUSTHEADACHE_WIDE,"Cluster headache, wide",VI Diseases of the nervous system (G6_),973,264662,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_CLUSTHEADACHE_WIDE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_CLUSTHEADACHE_WIDE.gz
G6_CNSABSC,Intracranial and intraspinal abscess and granuloma,VI Diseases of the nervous system (G6_),251,340340,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_CNSABSC.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_CNSABSC.gz
G6_CNSOTH,Other disorders of central nervous system,VI Diseases of the nervous system (G6_),254,318912,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_CNSOTH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_CNSOTH.gz
G6_CP,Cerebral palsy,VI Diseases of the nervous system (G6_),447,339360,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_CP.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_CP.gz
G6_CPETAL,Cerebral palsy and other paralytic syndromes,VI Diseases of the nervous system (G6_),3139,339360,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_CPETAL.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_CPETAL.gz
G6_DEGENOTH,Other and unspecified degenerative diseases of nervous system,VI Diseases of the nervous system (G6_),465,333555,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_DEGENOTH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_DEGENOTH.gz
G6_DEGENSEN,"Senile degeneration of the brain, not elsewhere classified",VI Diseases of the nervous system (G6_),86,333555,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_DEGENSEN.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_DEGENSEN.gz
G6_DISBROTHUNS,"Disorders of brain, other and unspecified",VI Diseases of the nervous system (G6_),229,318912,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_DISBROTHUNS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_DISBROTHUNS.gz
G6_DISOTHUNS,Disorders of other and unspecified cranial nerves,VI Diseases of the nervous system (G6_),128,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_DISOTHUNS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_DISOTHUNS.gz
G6_DISSOTH,Other acute disseminated demyelination,VI Diseases of the nervous system (G6_),245,340219,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_DISSOTH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_DISSOTH.gz
G6_DRUGPOLY,Drug-induced polyneuropathy,VI Diseases of the nervous system (G6_),177,336784,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_DRUGPOLY.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_DRUGPOLY.gz
G6_DYSTON,Dystonia,VI Diseases of the nervous system (G6_),1320,333858,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_DYSTON.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_DYSTON.gz
G6_ENCEPATH,Encephalopathy,VI Diseases of the nervous system (G6_),225,318912,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_ENCEPATH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_ENCEPATH.gz
G6_ENCEPHOTH,Other encephalitis,VI Diseases of the nervous system (G6_),620,340340,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_ENCEPHOTH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_ENCEPHOTH.gz
G6_EPIPAROX,Episodal and paroxysmal disorders,VI Diseases of the nervous system (G6_),77837,264662,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_EPIPAROX.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_EPIPAROX.gz
G6_EPLEPSY,Epilepsy,VI Diseases of the nervous system (G6_),10354,264662,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_EPLEPSY.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_EPLEPSY.gz
G6_FACOTH,Other facial nerve disorders,VI Diseases of the nervous system (G6_),665,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_FACOTH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_FACOTH.gz
G6_FEMLAPOP,Lesion of lateral popliteal nerve,VI Diseases of the nervous system (G6_),1154,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_FEMLAPOP.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_FEMLAPOP.gz
G6_FEMLE,Lesion of femoral nerve,VI Diseases of the nervous system (G6_),186,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_FEMLE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_FEMLE.gz
G6_GUILBAR,Guillain-Barre syndrome,VI Diseases of the nervous system (G6_),369,336784,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_GUILBAR.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_GUILBAR.gz
G6_HCCOMM,Communicating hydrocephalus,VI Diseases of the nervous system (G6_),363,341117,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_HCCOMM.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_HCCOMM.gz
G6_HCINOTH,Hydrocephalus in other diseases,VI Diseases of the nervous system (G6_),126,341117,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_HCINOTH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_HCINOTH.gz
G6_HCNP,Normal-pressure hydrocephalus,VI Diseases of the nervous system (G6_),660,341117,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_HCNP.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_HCNP.gz
G6_HCOBSTR,Obstructive hydrocephalus,VI Diseases of the nervous system (G6_),315,341117,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_HCOBSTR.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_HCOBSTR.gz
G6_HCOTHUNS,Other and unspecified hydrocephalus,VI Diseases of the nervous system (G6_),331,341117,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_HCOTHUNS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_HCOTHUNS.gz
G6_HEADACHE,Other headache syndromes,VI Diseases of the nervous system (G6_),13926,264662,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_HEADACHE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_HEADACHE.gz
G6_HEMIPLE,Hemiplegia,VI Diseases of the nervous system (G6_),1380,339360,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_HEMIPLE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_HEMIPLE.gz
G6_HERATAXIA,Hereditary ataxia,VI Diseases of the nervous system (G6_),305,341515,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_HERATAXIA.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_HERATAXIA.gz
G6_HEREMOSEN,Hereditary motor and sensory neuropathy,VI Diseases of the nervous system (G6_),196,336784,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_HEREMOSEN.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_HEREMOSEN.gz
G6_HERIPOTHUN,Other and unspecified neuropathies,VI Diseases of the nervous system (G6_),98,336784,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_HERIPOTHUN.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_HERIPOTHUN.gz
G6_HORNER,Horner syndrome,VI Diseases of the nervous system (G6_),276,342013,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_HORNER.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_HORNER.gz
G6_HYDROCEPH,Hydrocephalus,VI Diseases of the nervous system (G6_),1382,318912,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_HYDROCEPH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_HYDROCEPH.gz
G6_ICNEUROP,Intercostal neuropathy,VI Diseases of the nervous system (G6_),178,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_ICNEUROP.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_ICNEUROP.gz
G6_IDIOAUT,Idiopathic peripheral autonomic neuropathy,VI Diseases of the nervous system (G6_),81,342013,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_IDIOAUT.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_IDIOAUT.gz
G6_LSROOT,"Lumbosacral root disorders, not elsewhere classified",VI Diseases of the nervous system (G6_),328,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_LSROOT.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_LSROOT.gz
G6_MEDLEOTH,Other lesions of median nerve,VI Diseases of the nervous system (G6_),645,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MEDLEOTH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MEDLEOTH.gz
G6_MENINGBACT,Bacterial meningitis,VI Diseases of the nervous system (G6_),877,340340,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MENINGBACT.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MENINGBACT.gz
G6_MENINGOTH,Other meningitis,VI Diseases of the nervous system (G6_),356,340340,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MENINGOTH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MENINGOTH.gz
G6_MENINGVIR,Viral meningitis,VI Diseases of the nervous system (G6_),91,340340,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MENINGVIR.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MENINGVIR.gz
G6_MERALGIA,Meralgia paraesthetica,VI Diseases of the nervous system (G6_),730,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MERALGIA.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MERALGIA.gz
G6_MIGRAINE,Migraine,VI Diseases of the nervous system (G6_),15905,264662,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE.gz
G6_MIGRAINE_NO_AURA,Migraine without aura,VI Diseases of the nervous system (G6_),5787,264662,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE_NO_AURA.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE_NO_AURA.gz
G6_MIGRAINE_NO_AURA_ADVERSE,"Migraine without aura, drug-induced",VI Diseases of the nervous system (G6_),284,342215,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE_NO_AURA_ADVERSE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE_NO_AURA_ADVERSE.gz
G6_MIGRAINE_NO_AURA_TRIPTAN,Migraine without aura and triptan purchases,VI Diseases of the nervous system (G6_),4247,308114,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE_NO_AURA_TRIPTAN.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE_NO_AURA_TRIPTAN.gz
G6_MIGRAINE_WITH_AURA,Migraine with aura,VI Diseases of the nervous system (G6_),6780,264662,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE_WITH_AURA.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE_WITH_AURA.gz
G6_MIGRAINE_WITH_AURA_ADVERSE,"Migraine with aura, drug-induced",VI Diseases of the nervous system (G6_),274,342225,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE_WITH_AURA_ADVERSE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE_WITH_AURA_ADVERSE.gz
G6_MIGRAINE_WITH_AURA_TRIPTAN,Migraine with aura and triptan purchases,VI Diseases of the nervous system (G6_),3794,308114,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE_WITH_AURA_TRIPTAN.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MIGRAINE_WITH_AURA_TRIPTAN.gz
G6_MITOCMY,Mitochondrial myopathy,VI Diseases of the nervous system (G6_),85,339462,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MITOCMY.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MITOCMY.gz
G6_MONOLOWOTHUNS,Other and unspecified mononeuropathies of lower limb,VI Diseases of the nervous system (G6_),686,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MONOLOWOTHUNS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MONOLOWOTHUNS.gz
G6_MONONPOTHUS,Other and unspecified mononeuropathies of upper limb,VI Diseases of the nervous system (G6_),725,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MONONPOTHUS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MONONPOTHUS.gz
G6_MONOOTHUNS,"Other and unspecified mononeuropathies, also in other diseases",VI Diseases of the nervous system (G6_),771,301193,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MONOOTHUNS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MONOOTHUNS.gz
G6_MONOPLE,Monoplegia,VI Diseases of the nervous system (G6_),328,339360,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MONOPLE.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MONOPLE.gz
G6_MS,MS-disease / Multiple Sclerosis,VI Diseases of the nervous system (G6_),1912,339601,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MS.gz
G6_MUSCOTHUNS,Other and unspecified primary disorders of muscles,VI Diseases of the nervous system (G6_),177,339462,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MUSCOTHUNS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MUSCOTHUNS.gz
G6_MUSDYST,Muscular dystrophy,VI Diseases of the nervous system (G6_),188,339462,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MUSDYST.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MUSDYST.gz
G6_MYASTHENIA,Myasthenia gravis,VI Diseases of the nervous system (G6_),383,339462,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MYASTHENIA.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MYASTHENIA.gz
G6_MYOMUSCINOTH,Disorders of myoneural junction and muscle in diseases classified elsewhere,VI Diseases of the nervous system (G6_),182,339462,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MYOMUSCINOTH.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MYOMUSCINOTH.gz
G6_MYONEU,Diseases of the myoneural junction and muscle,VI Diseases of the nervous system (G6_),3037,339462,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MYONEU.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MYONEU.gz
G6_MYONEUOTHUNS,Other and unspecified myoneural disorders,VI Diseases of the nervous system (G6_),91,339462,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MYONEUOTHUNS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MYONEUOTHUNS.gz
G6_MYOPOTHUNS,Other and unspecified myopathies,VI Diseases of the nervous system (G6_),2039,339462,gs://finngen-public-data-r8/summary_stats/finngen_R8_G6_MYOPOTHUNS.gz,https://storage.googleapis.com/finngen-public-data-r8/summary_stats/finngen_R8_G6_MYOPOTHUNS.gz
